,type,lung,mask
0,train,dataset\lungs\0643.png,dataset\masks\0643.png
1,train,dataset\dataset\lungs\0001.png,dataset\dataset\masks\0001.png
2,train,dataset\dataset\lungs\0002.png,dataset\dataset\masks\0002.png
3,train,dataset\dataset\lungs\0003.png,dataset\dataset\masks\0003.png
4,train,dataset\dataset\lungs\0004.png,dataset\dataset\masks\0004.png
5,train,dataset\dataset\lungs\0005.png,dataset\dataset\masks\0005.png
6,train,dataset\dataset\lungs\0006.png,dataset\dataset\masks\0006.png
7,train,dataset\dataset\lungs\0007.png,dataset\dataset\masks\0007.png
8,train,dataset\dataset\lungs\0008.png,dataset\dataset\masks\0008.png
9,train,dataset\dataset\lungs\0009.png,dataset\dataset\masks\0009.png
11,train,dataset\lungs\0440.png,dataset\masks\0440.png
12,train,dataset\dataset\lungs\0012.png,dataset\dataset\masks\0012.png
13,train,dataset\dataset\lungs\0013.png,dataset\dataset\masks\0013.png
14,train,dataset\dataset\lungs\0014.png,dataset\dataset\masks\0014.png
15,train,dataset\dataset\lungs\0015.png,dataset\dataset\masks\0015.png
16,train,dataset\dataset\lungs\0016.png,dataset\dataset\masks\0016.png
17,train,dataset\dataset\lungs\0017.png,dataset\dataset\masks\0017.png
18,train,dataset\dataset\lungs\0018.png,dataset\dataset\masks\0018.png
19,train,dataset\dataset\lungs\0019.png,dataset\dataset\masks\0019.png
20,train,dataset\dataset\lungs\0020.png,dataset\dataset\masks\0020.png
22,train,dataset\lungs\0138.png,dataset\masks\0138.png
23,train,dataset\dataset\lungs\0023.png,dataset\dataset\masks\0023.png
24,train,dataset\dataset\lungs\0024.png,dataset\dataset\masks\0024.png
25,train,dataset\dataset\lungs\0025.png,dataset\dataset\masks\0025.png
26,train,dataset\dataset\lungs\0026.png,dataset\dataset\masks\0026.png
27,train,dataset\dataset\lungs\0027.png,dataset\dataset\masks\0027.png
28,train,dataset\dataset\lungs\0028.png,dataset\dataset\masks\0028.png
29,train,dataset\dataset\lungs\0029.png,dataset\dataset\masks\0029.png
30,train,dataset\dataset\lungs\0030.png,dataset\dataset\masks\0030.png
31,train,dataset\dataset\lungs\0031.png,dataset\dataset\masks\0031.png
33,train,dataset\lungs\0429.png,dataset\masks\0429.png
34,train,dataset\dataset\lungs\0034.png,dataset\dataset\masks\0034.png
35,train,dataset\dataset\lungs\0035.png,dataset\dataset\masks\0035.png
36,train,dataset\dataset\lungs\0036.png,dataset\dataset\masks\0036.png
37,train,dataset\dataset\lungs\0037.png,dataset\dataset\masks\0037.png
38,train,dataset\dataset\lungs\0038.png,dataset\dataset\masks\0038.png
39,train,dataset\dataset\lungs\0039.png,dataset\dataset\masks\0039.png
40,train,dataset\dataset\lungs\0040.png,dataset\dataset\masks\0040.png
41,train,dataset\dataset\lungs\0041.png,dataset\dataset\masks\0041.png
42,train,dataset\dataset\lungs\0042.png,dataset\dataset\masks\0042.png
44,train,dataset\lungs\0516.png,dataset\masks\0516.png
45,train,dataset\dataset\lungs\0045.png,dataset\dataset\masks\0045.png
46,train,dataset\dataset\lungs\0046.png,dataset\dataset\masks\0046.png
47,train,dataset\dataset\lungs\0047.png,dataset\dataset\masks\0047.png
48,train,dataset\dataset\lungs\0048.png,dataset\dataset\masks\0048.png
49,train,dataset\dataset\lungs\0049.png,dataset\dataset\masks\0049.png
50,train,dataset\dataset\lungs\0050.png,dataset\dataset\masks\0050.png
51,train,dataset\dataset\lungs\0051.png,dataset\dataset\masks\0051.png
52,train,dataset\dataset\lungs\0052.png,dataset\dataset\masks\0052.png
53,train,dataset\dataset\lungs\0053.png,dataset\dataset\masks\0053.png
55,train,dataset\lungs\0037.png,dataset\masks\0037.png
56,train,dataset\dataset\lungs\0056.png,dataset\dataset\masks\0056.png
57,train,dataset\dataset\lungs\0057.png,dataset\dataset\masks\0057.png
58,train,dataset\dataset\lungs\0058.png,dataset\dataset\masks\0058.png
59,train,dataset\dataset\lungs\0059.png,dataset\dataset\masks\0059.png
60,train,dataset\dataset\lungs\0060.png,dataset\dataset\masks\0060.png
61,train,dataset\dataset\lungs\0061.png,dataset\dataset\masks\0061.png
62,train,dataset\dataset\lungs\0062.png,dataset\dataset\masks\0062.png
63,train,dataset\dataset\lungs\0063.png,dataset\dataset\masks\0063.png
64,train,dataset\dataset\lungs\0064.png,dataset\dataset\masks\0064.png
66,train,dataset\lungs\0041.png,dataset\masks\0041.png
67,train,dataset\dataset\lungs\0067.png,dataset\dataset\masks\0067.png
68,train,dataset\dataset\lungs\0068.png,dataset\dataset\masks\0068.png
69,train,dataset\dataset\lungs\0069.png,dataset\dataset\masks\0069.png
70,train,dataset\dataset\lungs\0070.png,dataset\dataset\masks\0070.png
71,train,dataset\dataset\lungs\0071.png,dataset\dataset\masks\0071.png
72,train,dataset\dataset\lungs\0072.png,dataset\dataset\masks\0072.png
73,train,dataset\dataset\lungs\0073.png,dataset\dataset\masks\0073.png
74,train,dataset\dataset\lungs\0074.png,dataset\dataset\masks\0074.png
75,train,dataset\dataset\lungs\0075.png,dataset\dataset\masks\0075.png
77,train,dataset\lungs\0208.png,dataset\masks\0208.png
78,train,dataset\dataset\lungs\0078.png,dataset\dataset\masks\0078.png
79,train,dataset\dataset\lungs\0079.png,dataset\dataset\masks\0079.png
80,train,dataset\dataset\lungs\0080.png,dataset\dataset\masks\0080.png
81,train,dataset\dataset\lungs\0081.png,dataset\dataset\masks\0081.png
82,train,dataset\dataset\lungs\0082.png,dataset\dataset\masks\0082.png
83,train,dataset\dataset\lungs\0083.png,dataset\dataset\masks\0083.png
84,train,dataset\dataset\lungs\0084.png,dataset\dataset\masks\0084.png
85,train,dataset\dataset\lungs\0085.png,dataset\dataset\masks\0085.png
86,train,dataset\dataset\lungs\0086.png,dataset\dataset\masks\0086.png
88,train,dataset\lungs\0389.png,dataset\masks\0389.png
89,train,dataset\dataset\lungs\0089.png,dataset\dataset\masks\0089.png
90,train,dataset\dataset\lungs\0090.png,dataset\dataset\masks\0090.png
91,train,dataset\dataset\lungs\0091.png,dataset\dataset\masks\0091.png
92,train,dataset\dataset\lungs\0092.png,dataset\dataset\masks\0092.png
93,train,dataset\dataset\lungs\0093.png,dataset\dataset\masks\0093.png
94,train,dataset\dataset\lungs\0094.png,dataset\dataset\masks\0094.png
95,train,dataset\dataset\lungs\0095.png,dataset\dataset\masks\0095.png
96,train,dataset\dataset\lungs\0096.png,dataset\dataset\masks\0096.png
97,train,dataset\dataset\lungs\0097.png,dataset\dataset\masks\0097.png
99,train,dataset\lungs\0194.png,dataset\masks\0194.png
100,train,dataset\dataset\lungs\0100.png,dataset\dataset\masks\0100.png
101,train,dataset\dataset\lungs\0101.png,dataset\dataset\masks\0101.png
102,train,dataset\dataset\lungs\0102.png,dataset\dataset\masks\0102.png
103,train,dataset\dataset\lungs\0103.png,dataset\dataset\masks\0103.png
104,train,dataset\dataset\lungs\0104.png,dataset\dataset\masks\0104.png
105,train,dataset\dataset\lungs\0105.png,dataset\dataset\masks\0105.png
106,train,dataset\dataset\lungs\0106.png,dataset\dataset\masks\0106.png
107,train,dataset\dataset\lungs\0107.png,dataset\dataset\masks\0107.png
108,train,dataset\dataset\lungs\0108.png,dataset\dataset\masks\0108.png
110,train,dataset\lungs\0167.png,dataset\masks\0167.png
111,train,dataset\dataset\lungs\0111.png,dataset\dataset\masks\0111.png
112,train,dataset\dataset\lungs\0112.png,dataset\dataset\masks\0112.png
113,train,dataset\dataset\lungs\0113.png,dataset\dataset\masks\0113.png
114,train,dataset\dataset\lungs\0114.png,dataset\dataset\masks\0114.png
